"id","date_time","incident_num","location","apt_lot","type_id","lat","lng","group"
3799,10/19/12 05:56 AM,2012200259,"STADIUM BLVD W-CO/MKT TRAIL-CO",,1,38.9387,-92.3474,-1
732,10/29/12 09:47 PM,2012207107,"PROVIDENCE RD N-CO/WALNUT ST E-CO",,7,38.9527,-92.3341,-1
513,10/30/12 06:20 PM,2012207631,"MELBOURNE ST-CO/PRATT ST-CO",,42,38.953,-92.32,-1
1882,10/26/12 11:36 AM,2012204739,"105 ALBANY DR-CO","C",24,38.95133,-92.28903,-1
4819,10/15/12 08:38 PM,2012197962,"4011 BLK I70 DR SOUTHEAST-CO",,15,,,-1
7429,10/06/12 04:59 PM,2012192134,"2604 QUAIL DR-CO","B",38,38.96945,-92.29866,-1
8832,10/02/12 12:36 PM,2012189203,"SEVENTH ST N-CO/BUSINESS LOOP 70 E-CO",,3,38.9641,-92.3293,-1
511,10/30/12 06:22 PM,2012207635,"ASH ST E-CO/COLLEGE AV N-CO",,42,38.9537,-92.3217,-1
5030,10/15/12 12:03 AM,2012197516,"1600 BROADWAY E-CO",,10,38.94981,-92.31585,-1
1756,10/26/12 08:18 PM,2012205022,"218 OLD HIGHWAY 63 N-CO",12,3,38.9546,-92.31097,-1
1296,10/27/12 10:55 PM,2012206000,"104 STEWART RD E-CO",20,4,38.94602,-92.33642,-1
5283,10/14/12 03:39 AM,2012197036,"EIGHTH ST S-CO/LOCUST ST-CO",,3,38.9495,-92.3287,-1
5886,10/12/12 03:34 PM,2012195823,"304 COLLEGE AV S-CO",,39,38.94817,-92.32141,-1
3608,10/19/12 10:48 PM,2012200667,"109 STADIUM BLVD N-CO",5,17,38.95665,-92.37323,2
1111,10/28/12 06:56 AM,2012206242,"DOWNTOWN",,2,38.9525,-92.3305,-1
5465,10/13/12 06:39 PM,2012196686,"PROVIDENCE RD N-CO/SEXTON RD E-CO",,37,38.959,-92.3341,-1
7037,10/07/12 11:56 PM,2012192948,"SIXTH ST N-CO/WALNUT ST E-CO",,3,38.9526,-92.3308,-1
7189,10/07/12 05:41 AM,2012192599,"212 GREEN MEADOWS RD E-CO",2,32,38.91575,-92.33614,-1
475,10/30/12 08:18 PM,2012207719,"NIFONG BLVD W-CO/OLD MILL CREEK RD S-CO",,1,38.9109,-92.3817,-1
